"Story","Title","Result","Date","Stability","Duration (s)"
"Get user details tests","Verify that we can find correct user by using city","SUCCESS","20:05:03","0.0","7.62"
"Get user details tests","Verify total number of users","SUCCESS","20:05:11","0.0","0.88"
"Get user details tests","Verify that we can find correct user by using id","SUCCESS","20:05:12","0.0","0.59"
"Get user details tests","Check non existing id","SUCCESS","20:05:13","0.0","0.1"
